Subject,Experiment,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
62,plurals,644648615-1431079973.json,m,49,24.583333333333332,"[94, 236, 30]",mouse,right,english,False,"{'y': 0.1710060404082483, 'x': 0.4995537421904883}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1024
67,plurals,671446002-1431081088.json,f,59,21.25,"[136, 337, 26]",mouse,right,English,False,"{'y': 0.17034182266150205, 'x': 0.500156400570572}",False,,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1152
68,plurals,675691620-1431082293.json,m,23,26.966666666666665,"[61, 159, 3]",mouse,right,English,False,"{'y': 0.17128482390928887, 'x': 0.5008291873963516}",True,none,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",595
69,plurals,696759202-1431082399.json,m,26,19.083333333333332,"[79, 184, 33]",trackpad,right,English,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1360
70,plurals,697384532-1431085698.json,m,37,19.516666666666666,"[149, 400, 44]",mouse,right,English,False,"{'y': 0.1735094267394009, 'x': 0.4997810282911448}",False,No specific strategy,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1782
71,plurals,710876798-1431079772.json,f,52,22.166666666666668,"[280, 553, 125]",mouse,right,English,False,"{'y': 0.17020545591974162, 'x': 0.5004429819010252}",False,just tried to mentally picture the sentence so it made sense. ,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36 OPR/29.0.1795.47",1366
73,plurals,727777449-1431082031.json,f,57,20.366666666666667,"[95, 212, 21]",mouse,right,ENGLISH,False,"{'y': 0.17304747320061256, 'x': 0.4999390020739295}",False,"IDENTIFIED OBJECT (CIRCLE, TRIANGLE, ETC)AND FOUND THE KEY WORD (BELOW, ABOVE), AND THEN CHECKED IF IT WAS WORDED NEG OR POS, THEN CHECKED IF TRUE. THIS WAS EASIER THAN COUNTING HOW MANY CIRCLES OR TRIANGLE WERE SPECIFIED.",False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1296
74,plurals,728212656-1431084575.json,f,34,70.28333333333333,"[54, 193, 3]",mouse,right,ENGLISH,False,"{'y': 0.17304747320061256, 'x': 0.4999390020739295}",False,NONE,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1252
75,plurals,732019947-1431091595.json,f,30,24.05,"[63, 143, 4]",trackpad,right,English,False,"{'y': 0.17362974319662705, 'x': 0.49991229608840554}",False,N/A,False,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1024
76,plurals,734996239-1431083763.json,f,34,21.883333333333333,"[116, 342, 38]",mouse,right,english,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1360
77,plurals,736322918-1431082443.json,f,41,22.133333333333333,"[65, 173, 17]",trackpad,right,english,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,Thank you,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
